,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
485,puksoozero,RU,62.5903,40.6066,5.52,99,98,3.85,overcast clouds
486,helong,CN,42.5397,128.9972,7.61,83,63,4.0,broken clouds
487,minas,UY,-34.3759,-55.2377,83.52,30,0,15.93,clear sky
488,rawson,AR,-43.3002,-65.1023,68.38,56,41,12.37,scattered clouds
489,jieshi,CN,22.8134,115.8257,60.94,79,58,10.18,broken clouds
490,grand gaube,MU,-20.0064,57.6608,77.38,87,100,3.0,overcast clouds
491,mao,ES,39.8885,4.2658,52.36,82,0,8.05,clear sky
492,kungurtug,RU,50.5994,97.5228,-6.07,94,83,1.61,broken clouds
493,svetlogorsk,BY,52.6333,29.7333,26.44,97,100,4.47,light snow
494,marakkanam,IN,12.2,79.95,74.97,77,94,7.16,overcast clouds
495,rincon,US,32.296,-81.2354,75.65,74,56,1.01,broken clouds
496,lima,PE,-12.0432,-77.0282,75.13,69,0,17.27,clear sky
497,yevsino,RU,54.4172,83.3222,11.55,93,99,13.58,overcast clouds
498,palauig,PH,15.435,119.9045,75.7,78,15,7.25,few clouds
499,republic,US,37.12,-93.4802,41.47,39,37,3.0,scattered clouds
500,lerum,SE,57.7745,12.2697,34.93,69,20,3.0,few clouds
501,aksarka,RU,66.5606,67.7975,0.86,88,89,11.18,overcast clouds
502,dengfeng,CN,34.4553,113.0281,36.36,84,100,4.54,overcast clouds
503,qaqortoq,GL,60.7167,-46.0333,13.23,81,100,4.88,overcast clouds
504,grenville,GD,12.1167,-61.6167,80.65,72,33,16.4,scattered clouds
505,salawagan,PH,7.7053,125.115,70.5,94,90,3.06,overcast clouds
506,ahipara,NZ,-35.1667,173.1667,73.44,62,100,3.56,overcast clouds
507,karaton,ID,-6.3424,106.1045,77.16,92,99,4.18,overcast clouds
508,jasper,US,37.2001,-94.3502,38.53,38,40,3.0,scattered clouds
509,ukiah,US,39.1502,-123.2078,63.37,48,36,1.99,scattered clouds
510,hualmay,PE,-11.0964,-77.6139,74.44,72,8,10.92,clear sky
511,dongen,NL,51.6267,4.9389,38.97,63,29,5.68,scattered clouds
512,pemangkat,ID,1.1667,108.9667,76.71,91,95,6.78,overcast clouds
513,tortosa,ES,40.8125,0.5216,67.24,66,86,14.18,overcast clouds
514,santa isabel,BR,-23.3156,-46.2214,66.65,97,100,3.74,overcast clouds
515,veraval,IN,20.9,70.3667,61.29,56,0,12.03,clear sky
516,esperance,AU,-33.8667,121.9,58.84,68,100,14.97,overcast clouds
517,yenagoa,NG,4.9247,6.2642,78.89,80,5,4.72,clear sky
518,aljezur,PT,37.3191,-8.8033,50.5,90,1,6.89,clear sky
519,kyshtovka,RU,56.555,76.6271,-3.53,97,34,8.55,scattered clouds
520,dire,ML,12.2833,-10.9667,77.76,18,14,2.04,few clouds
521,benjamin hill,MX,30.1667,-111.1,70.18,32,100,3.87,overcast clouds
522,vidim,RU,56.4088,103.1106,-12.08,86,72,3.56,broken clouds
523,souillac,MU,-20.5167,57.5167,77.36,88,40,4.61,light rain
524,natal,BR,-5.795,-35.2094,82.62,78,20,13.8,few clouds
525,mantua,IT,45.1667,10.7833,40.51,89,100,5.99,overcast clouds
526,cloquet,US,46.7216,-92.4594,2.73,54,6,13.8,clear sky
527,stornoway,GB,58.2093,-6.3865,42.93,91,75,3.0,broken clouds
528,coahuayana,MX,18.7333,-103.6833,86.9,38,60,6.06,broken clouds
529,cabedelo,BR,-6.9811,-34.8339,81.27,73,15,12.21,few clouds
530,borogontsy,RU,62.6683,131.1683,-46.08,100,62,2.21,broken clouds
531,la romana,DO,18.4273,-68.9728,82.76,61,40,13.8,scattered clouds
532,tukrah,LY,32.5341,20.5791,57.34,73,67,24.9,broken clouds
533,severo-kurilsk,RU,50.6789,156.125,28.74,86,84,9.82,broken clouds
534,ngawi,ID,-7.4038,111.4461,74.86,91,99,1.12,overcast clouds
535,hasaki,JP,35.7333,140.8333,43.2,69,100,21.54,overcast clouds
536,bilma,NE,18.6853,12.9164,53.76,24,2,12.06,clear sky
537,san agustin,MX,20.5333,-103.4667,81.52,16,54,2.24,broken clouds
538,caceres,ES,39.522,-6.3748,47.8,98,33,6.93,scattered clouds
539,gamba,GA,-2.65,10.0,76.78,94,96,5.21,overcast clouds
540,shimoda,JP,34.6667,138.95,47.1,81,70,13.98,broken clouds
541,toguchin,RU,55.2353,84.3858,15.69,93,100,14.9,overcast clouds
542,assiniboia,CA,49.6334,-105.9845,-0.49,54,36,4.61,scattered clouds
543,husavik,IS,66.0449,-17.3389,42.71,79,100,29.8,overcast clouds
544,nhulunbuy,AU,-12.2333,136.7667,83.01,83,100,9.22,overcast clouds
545,okhotsk,RU,59.3833,143.3,6.73,78,100,13.91,overcast clouds
546,monte aprazivel,BR,-20.7725,-49.7142,79.45,88,41,12.95,scattered clouds
547,kholodnyy,RU,62.7167,147.95,-6.18,100,98,3.02,overcast clouds
548,mount isa,AU,-20.7333,139.5,89.37,33,44,4.61,scattered clouds
549,suratgarh,IN,29.3167,73.9,53.87,63,4,0.74,clear sky
550,thinadhoo,MV,0.5333,72.9333,81.66,75,98,9.24,overcast clouds
551,mende,FR,44.6667,3.5,29.61,99,100,3.44,light snow
552,baoning,CN,25.3378,110.026,46.26,93,100,2.24,mist
553,athabasca,CA,54.7169,-113.2854,-3.59,94,100,6.89,light snow
554,gizo,SB,-8.103,156.8419,82.69,78,30,11.16,moderate rain
555,coquimbo,CL,-29.9533,-71.3436,69.53,60,0,13.8,clear sky
556,kawalu,ID,-7.3817,108.2082,72.1,96,91,1.3,overcast clouds
557,fairbanks,US,64.8378,-147.7164,-18.4,72,0,6.91,clear sky
558,sawakin,SD,19.1059,37.3321,77.95,86,24,6.08,few clouds
559,guapimirim,BR,-22.5372,-42.9819,72.64,99,100,1.36,overcast clouds
560,port alberni,CA,49.2413,-124.8028,47.91,96,100,1.99,overcast clouds
561,haapiti,PF,-17.5667,-149.8667,83.93,79,93,19.15,moderate rain
562,ape,LV,57.5393,26.6929,28.71,94,99,1.1,overcast clouds
563,lovozero,RU,68.005,35.0117,10.94,92,67,13.73,broken clouds
564,sri aman,MY,1.2376,111.4621,75.25,94,97,0.0,light rain
565,linhares,BR,-19.3911,-40.0722,74.75,95,100,3.71,overcast clouds
566,tytuvenai,LT,55.6,23.2,26.51,95,44,2.89,scattered clouds
567,nome,US,64.5011,-165.4064,4.15,60,0,42.57,clear sky
568,kongoussi,BF,13.3258,-1.5347,69.85,12,19,8.48,few clouds
569,armizonskoye,RU,55.9461,67.6736,-4.2,95,10,8.95,clear sky
570,manggar,ID,-2.8833,108.2667,78.49,86,99,6.55,overcast clouds
571,saint anthony,US,45.0205,-93.218,6.82,53,40,5.99,scattered clouds
572,assomada,CV,15.1,-23.6833,67.55,62,100,2.62,overcast clouds
573,dwarka,IN,22.2394,68.9678,65.44,56,0,7.92,clear sky
574,chapais,CA,49.7834,-74.8492,15.58,92,100,16.6,light snow
575,saraipali,IN,21.3333,83.0,64.22,59,41,4.88,scattered clouds
576,honiara,SB,-9.4333,159.95,83.88,74,95,7.43,overcast clouds
577,mastic,US,40.802,-72.8409,42.94,90,100,10.36,light rain
578,blackburn,GB,53.75,-2.4833,44.37,94,79,5.01,broken clouds
579,luganville,VU,-15.5333,167.1667,84.79,68,67,4.68,broken clouds
580,hithadhoo,MV,-0.6,73.0833,81.25,75,34,7.09,scattered clouds
581,uruzgan,AF,32.8333,66.0,32.95,55,1,3.94,clear sky
582,hastings,GB,50.8552,0.5729,41.81,80,70,6.93,broken clouds
583,muriti,TZ,-1.9833,32.9167,69.91,66,100,2.35,overcast clouds
584,oberndorf,DE,48.2905,8.5722,37.18,100,100,1.61,light snow
585,brodick,GB,55.5754,-5.1472,40.84,87,80,4.16,broken clouds
586,qasigiannguit,GL,68.8193,-51.1922,6.71,89,100,7.05,overcast clouds
587,udachnyy,RU,66.4167,112.4,2.44,77,100,19.98,overcast clouds
588,lopik,NL,51.9725,4.9486,39.04,92,7,4.23,clear sky
589,vila,PT,42.0304,-8.1588,47.75,95,100,3.22,light rain
590,morehead,US,37.2711,-87.1764,40.1,60,0,7.0,clear sky
591,kazachinskoye,RU,57.6953,93.2761,27.3,92,100,10.98,light snow
592,baiao,BR,-2.7906,-49.6717,73.17,91,100,1.9,overcast clouds
593,caruaru,BR,-8.2833,-35.9761,74.86,69,53,11.92,broken clouds
594,okha,RU,53.5739,142.9478,0.9,95,100,27.72,snow
595,doha,QA,25.2867,51.5333,60.78,63,0,2.3,clear sky
596,corinto,GR,37.9407,22.9573,53.46,89,28,3.65,scattered clouds
597,coffs harbour,AU,-30.3,153.1333,78.76,69,100,8.05,overcast clouds
598,yangjiang,CN,21.85,111.9667,60.22,72,80,4.88,broken clouds
599,villamontes,BO,-21.25,-63.5,89.01,35,99,2.93,overcast clouds
600,beringovskiy,RU,63.05,179.3167,-12.75,85,2,11.25,clear sky
601,ilhabela,BR,-23.7781,-45.3581,71.01,88,100,3.4,overcast clouds
602,conde,BR,-7.2597,-34.9075,79.47,73,20,10.58,few clouds
603,garbou,RO,47.15,23.4333,31.42,95,99,1.77,overcast clouds
604,aboyne,GB,57.0755,-2.7802,31.23,83,24,1.74,few clouds
605,yeola,IN,20.0333,74.4833,59.07,44,0,5.88,clear sky
606,marsh harbour,BS,26.5412,-77.0636,75.0,65,78,16.44,broken clouds
607,peace river,CA,56.2501,-117.286,-1.89,77,100,8.05,light snow
608,klaksvik,FO,62.2266,-6.589,43.72,86,76,30.62,broken clouds
609,poli,TZ,-3.3333,36.8,61.09,85,100,6.26,overcast clouds
610,palana,RU,59.1167,159.9667,12.0,83,26,8.28,scattered clouds
611,havoysund,NO,70.9963,24.6622,20.28,66,100,12.28,overcast clouds
612,little current,CA,45.9793,-81.9248,17.42,67,99,20.24,overcast clouds
613,wajima,JP,37.4,136.9,39.72,70,41,11.07,scattered clouds
614,ust-tsilma,RU,65.441,52.1498,4.77,93,100,7.63,overcast clouds
615,kidero,RU,42.1932,45.9614,21.6,67,5,3.58,clear sky
616,nichinan,JP,31.6,131.3667,38.88,80,5,5.39,clear sky
617,rundu,NA,-17.9333,19.7667,67.44,93,100,5.91,light rain
618,montreal,CA,45.5088,-73.5878,37.47,93,100,4.61,light rain
619,seminole,US,28.7086,-81.2081,79.11,74,28,1.01,scattered clouds
620,sechura,PE,-5.5569,-80.8222,80.71,57,84,18.37,broken clouds
621,grindavik,IS,63.8424,-22.4338,40.95,93,75,46.04,heavy intensity rain
622,sabang,ID,5.8933,95.3214,80.37,77,65,8.88,broken clouds
623,port hardy,CA,50.6996,-127.4199,51.76,92,100,21.61,overcast clouds
624,vagur,FO,61.4732,-6.8119,44.01,90,91,17.94,overcast clouds
625,ahuimanu,US,21.4447,-157.8378,78.85,69,1,4.0,clear sky
626,gigmoto,PH,13.7796,124.39,77.32,86,90,3.98,overcast clouds
627,erzincan,TR,39.75,39.5,34.9,87,75,4.61,broken clouds
628,clarence town,AU,-32.5833,151.7833,80.15,77,17,5.14,few clouds
629,cap malheureux,MU,-19.9842,57.6142,77.47,87,100,3.0,overcast clouds
630,georgiyevka,KZ,43.0369,74.7114,30.24,93,75,2.24,mist
631,magdalena,PH,14.1999,121.429,75.18,96,14,2.59,few clouds
632,dunedin,NZ,-45.8742,170.5036,63.79,76,75,3.49,broken clouds
633,byron bay,AU,-28.65,153.6167,77.88,70,16,6.58,few clouds
634,frontera,MX,26.9333,-101.45,73.33,33,46,1.99,scattered clouds
635,altay,CN,47.8667,88.1167,14.25,77,46,6.24,scattered clouds
636,motygino,RU,58.1831,94.7592,25.81,96,100,11.07,light snow
637,cahors,FR,44.4167,1.3333,46.15,95,100,6.93,overcast clouds
638,kulebaki,RU,55.4133,42.5325,20.71,95,100,9.82,snow
639,hirara,JP,24.8,125.2833,66.47,77,75,14.97,broken clouds
640,bogalusa,US,30.791,-89.8487,80.65,65,40,5.75,scattered clouds
641,grahamstown,ZA,-33.3042,26.5328,66.0,94,32,1.77,scattered clouds
642,ostrowiec swietokrzyski,PL,50.9294,21.3853,29.1,59,69,3.42,broken clouds
643,elizabeth city,US,36.2946,-76.2511,66.4,78,41,12.1,scattered clouds
644,sola,VU,-13.8833,167.55,82.58,75,100,14.34,overcast clouds
645,casian,PH,11.035,119.7136,79.9,79,86,9.89,overcast clouds
646,jibuti,DJ,11.5,42.5,69.67,69,26,15.32,scattered clouds
647,kapoeta,SS,4.7717,33.5903,83.86,33,8,7.92,clear sky
648,padang,ID,-0.9492,100.3543,77.05,87,100,3.98,light rain
649,bealanana,MG,-14.55,48.7333,65.14,94,90,2.26,light rain
650,ystad,SE,55.4297,13.8204,37.54,78,100,16.4,overcast clouds
651,launceston,AU,-41.45,147.1667,67.64,79,75,3.0,broken clouds
652,oratorio,GT,14.2281,-90.1758,77.85,45,67,5.35,broken clouds
653,bhag,PK,29.0415,67.8239,56.3,57,0,0.38,clear sky
654,poplar bluff,US,36.757,-90.3929,44.33,44,87,13.0,overcast clouds
655,santa maria,BR,-29.6842,-53.8069,83.5,42,20,12.66,few clouds
656,acapulco,MX,16.8634,-99.8901,84.22,57,66,8.03,broken clouds
657,axim,GH,4.8699,-2.2405,81.05,81,70,7.76,broken clouds
658,pontianak,ID,-0.0333,109.3333,75.18,94,91,2.3,overcast clouds
659,paita,PE,-5.0892,-81.1144,74.5,74,62,16.75,broken clouds
660,akdepe,TM,42.0551,59.3788,32.0,74,6,8.75,clear sky
661,brigantine,US,39.4101,-74.3646,43.09,89,100,9.22,moderate rain
662,sibu,MY,2.3,111.8167,73.33,99,90,1.97,overcast clouds
663,somanda,TZ,-3.3667,33.95,71.91,42,100,5.19,overcast clouds
664,le vauclin,MQ,14.5452,-60.8388,75.25,83,75,11.5,broken clouds
665,asau,RO,46.4333,26.4,37.76,98,98,3.22,overcast clouds
666,olbia,IT,40.9214,9.4856,51.85,66,40,11.5,scattered clouds
667,alice springs,AU,-23.7,133.8833,81.95,18,0,6.91,clear sky
668,plymouth,US,41.8334,-70.8328,47.84,85,100,5.99,overcast clouds
669,kropotkin,RU,45.4375,40.5756,37.06,82,96,9.33,overcast clouds
670,bellavista,PE,-7.0561,-76.5911,87.3,50,98,0.72,overcast clouds
671,killybegs,IE,54.6333,-8.45,45.45,92,100,8.34,light rain
672,neuquen,AR,-38.9516,-68.0591,98.17,11,1,7.02,clear sky
673,gerash,IR,27.6652,54.1371,50.49,49,0,0.74,clear sky
674,ambon,ID,-3.6954,128.1814,75.34,94,40,4.61,scattered clouds
675,alyangula,AU,-13.8483,136.4192,82.27,69,43,5.75,scattered clouds
676,ixtapa,MX,20.7,-105.2,85.28,38,79,5.88,broken clouds
677,sao jose da coroa grande,BR,-8.8978,-35.1478,79.79,75,1,8.88,clear sky
678,bowen,AU,-20.0167,148.2333,79.02,70,44,14.99,scattered clouds
679,college,US,64.8569,-147.8028,-18.42,76,0,6.91,clear sky
680,kimbe,PG,-5.5502,150.1429,78.73,87,99,2.93,light rain
681,nchelenge,ZM,-9.3451,28.734,70.16,86,98,5.88,overcast clouds
682,lethem,GY,3.3803,-59.7968,86.41,40,98,11.72,overcast clouds
683,bonavista,CA,48.6499,-53.1147,24.12,73,48,18.25,scattered clouds
684,dutlwe,BW,-23.9833,23.9,73.71,55,43,7.56,scattered clouds
685,taoudenni,ML,22.6783,-3.9836,56.62,17,28,12.01,scattered clouds
686,fort nelson,CA,58.8053,-122.7002,-20.61,76,100,0.0,snow
687,san quintin,MX,30.4833,-115.95,64.74,53,81,7.63,broken clouds
688,salinopolis,BR,-0.6136,-47.3561,77.95,83,97,3.38,overcast clouds
689,bandarbeyla,SO,9.4942,50.8122,75.63,67,24,21.14,few clouds
690,hudson bay,CA,52.85,-102.3842,-12.41,87,7,9.19,clear sky
691,port hedland,AU,-20.3167,118.5667,78.85,89,8,0.0,clear sky
692,bubaque,GW,11.2833,-15.8333,80.42,71,97,16.89,overcast clouds
693,madisonville,US,37.3281,-87.4989,40.21,53,100,8.99,overcast clouds
694,imbituba,BR,-28.24,-48.6703,70.5,82,100,8.21,overcast clouds
695,linxia,CN,35.6003,103.2064,23.36,54,84,1.74,broken clouds
696,kloulklubed,PW,7.0419,134.2556,82.44,74,100,11.9,overcast clouds
697,dir,PK,35.2058,71.8756,34.03,53,8,6.38,clear sky
698,saint-pierre,RE,-21.3393,55.4781,76.68,84,0,3.44,clear sky
699,shujalpur,IN,23.4,76.7167,52.88,81,0,7.05,clear sky
700,manicore,BR,-5.8092,-61.3003,72.37,94,100,2.62,overcast clouds
701,bariri,BR,-22.0744,-48.7403,70.95,91,100,12.68,overcast clouds
702,sambava,MG,-14.2667,50.1667,73.96,92,100,6.35,overcast clouds
703,valparaiso,CL,-33.0393,-71.6273,68.47,61,100,5.68,overcast clouds
704,dali,CN,25.7,100.1833,39.81,75,0,4.76,clear sky
705,wencheng,CN,33.0559,113.7978,43.43,76,100,2.98,light rain
706,nizwa,OM,22.9333,57.5333,60.17,58,0,4.56,clear sky
707,chernyshevskiy,RU,63.0128,112.4714,-14.76,87,100,5.68,overcast clouds
708,jiangyin,CN,31.9282,120.3126,37.98,81,10,3.33,clear sky
709,amga,RU,60.8953,131.9608,-31.63,94,98,1.97,overcast clouds
710,tual,ID,-5.6667,132.75,82.81,76,99,9.13,overcast clouds
711,kachug,RU,53.9606,105.8817,-23.55,100,58,1.01,broken clouds
712,samarai,PG,-10.6167,150.6667,81.09,79,83,5.88,broken clouds
713,tinskoy,RU,56.1525,96.9161,25.59,90,100,10.83,overcast clouds
714,nanfeng,CN,23.7434,111.7959,53.47,85,99,0.65,overcast clouds
715,raghunathpur,IN,23.55,86.6667,64.78,66,10,3.87,clear sky
716,orebro,SE,59.2741,15.2066,32.25,53,100,11.5,overcast clouds
717,boali,CF,4.8005,18.1275,81.46,24,69,3.15,broken clouds
718,turan,VN,16.0678,108.2208,71.58,94,75,1.14,broken clouds
719,zaigrayevo,RU,51.8336,108.2703,-18.78,100,83,0.89,broken clouds
720,baoqing,CN,46.3317,132.2111,-13.49,96,17,1.48,few clouds
721,ponta delgada,PT,37.7333,-25.6667,61.5,82,75,11.5,broken clouds
722,yuzhnyy,RU,53.2542,83.6936,14.38,85,75,15.66,light shower snow
723,lichuan,CN,30.3,108.85,37.54,94,100,0.51,overcast clouds
724,mahibadhoo,MV,3.7833,72.9667,80.85,75,60,7.65,broken clouds
725,sinegorye,RU,62.0788,150.477,-8.7,100,99,0.81,overcast clouds
726,greenville,US,35.6127,-77.3663,67.95,59,40,10.36,scattered clouds
727,guarda,PT,40.5373,-7.2658,46.9,96,100,4.38,overcast clouds
728,fukue,JP,32.6881,128.8419,51.15,58,42,8.37,scattered clouds
729,novobirilyussy,RU,56.9514,90.6661,22.53,92,100,12.95,light snow
